,permno,ticker
343,10130,NFSL
344,10130,FSTC
345,10130,FSTC
346,10131,SBTC
347,10132,NIBC
348,10133,TELQ
349,10133,
350,10133,TELQ
351,10134,EGCB
352,10135,FARK
353,10135,FARK
354,10136,CABL
355,10137,
356,10137,
357,10137,
358,10137,AYP
359,10137,AYP
360,10137,AYE
361,10138,TROW
362,10138,TROW
363,10139,ADFC
364,10140,SRCO
365,10141,GNDR
366,10142,IMTC
367,10142,IMTC
368,10143,ONCS
369,10143,OSIP
370,10144,NICE
371,10145,
372,10145,
373,10145,ACD
374,10145,ACD
375,10145,ALD
376,10145,ALD
377,10145,ALD
378,10145,ALD
379,10145,ALD
380,10145,HON
381,10145,HON
382,10145,HON
383,10145,HON
384,10145,HON
385,10145,HON
386,10146,APLI
387,10146,AECE
388,10146,AECE
389,10147,EMCS
390,10147,EMC
391,10147,EMC
392,10148,TRAD
393,10148,TRAD
394,10149,EBSI
395,10149,EBSI
396,10150,TLII
397,10150,TLII
398,10150,TLII
399,10151,GRV
400,10151,AGLS
401,10152,ADTI
402,10153,
403,10153,AH
404,10153,AH
405,10153,AH
406,10154,AELB
407,10154,AELNA
408,10155,ELGT
409,10155,
410,10155,ELGT
411,10155,ELGT
412,10156,JHSL
413,10156,JHSL
414,10156,JHSL
415,10156,JHSL
416,10156,JHSL
417,10157,NSBK
418,10158,AMRC
419,10158,AMRC
420,10158,AMRC
421,10158,AMRC
422,10159,ICTX
423,10159,ICTX
424,10160,SAND
425,10160,SAND
426,10160,SANDV
427,10160,SAND
428,10160,SAND
429,10160,SAND
430,10161,
431,10161,
432,10161,AMX
433,10161,AMX
434,10161,AMX
435,10162,AEST
436,10163,XRIT
437,10164,CAAN
438,10164,CAAN
439,10165,LBNK
440,10166,LLEC
441,10167,EVIAA
442,10167,EVAA
443,10168,ARNX
444,10169,PADS
445,10170,RYFL
446,10170,RYFL
447,10171,CTWL
448,10172,GNTE
449,10172,GNTE
450,10172,
451,10172,GNTE
452,10173,SEAB
453,10173,SEAB
454,10173,SEAB
455,10174,JNBK
456,10175,BARY
457,10175,BARY
458,10175,BARY
459,10176,TECC
460,10177,SFNS
461,10177,SFNS
462,10177,JMCG
463,10177,JMCG
464,10177,JMCG
465,10177,FEDM
466,10177,DMCO
467,10178,WPGI
468,10178,GBFE
469,10179,RCSB
470,10179,RCSB
471,10180,AKRN
472,10180,AKRN
473,10180,AKRN
474,10180,AKRN
475,10180,
476,10180,AKN
477,10180,AKRX
478,10181,MUNI
479,10182,TECD
480,10182,TECD
481,10183,ERCO
482,10184,ALFE
483,10185,MRLL
484,10186,SWCC
485,10187,HPLX
486,10187,HPLX
487,10188,
488,10188,
489,10188,
490,10188,
491,10188,AB
492,10188,AB
493,10189,AFAP
494,10190,CLRX
495,10191,TXEL
496,10191,TXEL
497,10192,MSCA
498,10193,RBCN
499,10193,
500,10193,RBCN
501,10193,OSPY
502,10194,SOMR
503,10194,SOMR
504,10195,CTEXB
505,10195,CTCOB
506,10196,
507,10196,AF
508,10197,
509,10198,DELA
510,10199,ARBR
511,10200,RGEN
512,10200,RGEN
513,10201,AT
514,10201,AT
515,10202,CWCC
516,10203,PSBN
517,10203,PSBN
518,10204,UNTL
519,10205,LSBX
520,10205,LSBX
521,10205,TREX
522,10205,LSBX
523,10205,LSBX
524,10205,LSBX
525,10206,ESPC
526,10207,FUND
527,10207,FUND
528,10207,FUND
529,10207,FUND
530,10207,FUND
531,10207,FUND
532,10208,ISTC
533,10209,
534,10209,AHD
535,10210,FSBG
536,10211,WCRP
537,10211,WES
538,10211,WES
539,10211,WES
540,10211,WES
541,10212,IFRA
542,10212,IFRA
543,10213,ATVC
544,10213,ATVC
545,10214,SIGN
546,10215,VVCO
547,10216,BURN
548,10216,BURN
549,10216,
550,10216,BURN
551,10216,BURN
552,10216,BURN
553,10216,BURN
554,10216,XCED
555,10216,XCED
556,10216,XCED
557,10216,XCED
558,10216,XCED
559,10216,XCED
560,10217,
561,10217,ABN
562,10217,ABN
563,10218,AFPC
564,10218,AFPC
565,10219,TLSS
566,10220,BWC
567,10220,BWC
568,10220,BWXT
569,10220,BWXT
570,10221,IMSR
571,10222,FTTR
572,10222,FTTRV
573,10222,FTTRV
574,10222,FTTR
575,10223,CIS
576,10224,SHIP
577,10225,
578,10225,
579,10225,AT
580,10225,AT
581,10225,AMB
582,10225,FO
583,10225,FO
584,10225,BEAM
585,10225,BEAM
586,10225,BEAM
587,10226,
588,10227,KISC
589,10227,KISC
590,10228,IFND
591,10229,NACS
592,10230,ANDB
593,10230,ANDB
594,10230,ANDB
595,10231,CBNH
596,10232,ESBK
597,10232,ESBK
598,10232,ESBK
599,10233,
600,10233,
601,10233,
602,10233,
603,10233,
604,10233,
605,10233,ABP
606,10233,ABC
607,10233,ABC
608,10234,AGMI
609,10234,
610,10234,AGMI
611,10234,
612,10234,AGMN
613,10235,APAS
614,10235,FOTO
615,10235,FOTO
616,10236,WEBS
617,10237,SURG
618,10238,BVFS
619,10238,BVFS
620,10238,BVFS
621,10238,BVCC
622,10238,BVC
623,10238,BVC
624,10238,GLK
625,10239,BWINB
626,10239,PTVCB
627,10240,WOMN
628,10241,
629,10241,AC
630,10241,AC
631,10241,PA
632,10242,TRFI
633,10242,TRFI
634,10243,AFED
635,10243,AFED
636,10243,AFED
637,10244,DSBE
638,10244,PRCC
639,10244,PRCC
640,10244,UDET
641,10245,SHLY
642,10245,SHLY
643,10246,MIDS
644,10247,GTOS
645,10247,GTOS
646,10247,GTOS
647,10248,CIMC
648,10248,CIMC
649,10249,GIDE
650,10250,MRCO
651,10250,MRCO
652,10251,FSAM
653,10251,FSAM
654,10251,FLGF
655,10252,INDB
656,10252,INDB
657,10253,TUSA
658,10253,NSKY
659,10253,
660,10253,DMC
661,10253,DMC
662,10253,DMC
663,10253,DSS
664,10253,DSS
